entity,code,theyear,prevalence_mental_disorders_male_percent,prevalence_mental_disorders_female_percent,population_historical_estimates,continent,unique_id,happiness_rank,country,region,happiness_score,economy_gdp_per_capita,family_social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,the_year
Afghanistan,AFG,2015,16.64581164,17.5852091,34413603,Asia,152,153,Afghanistan,Southern Asia,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,2015
Afghanistan,AFG,2016,16.63662888,17.56618234,35383028,,153,154,Afghanistan,Southern Asia,3.36,0.38227,0.11037,0.17344,0.1643,0.07112,0.31268,2016
Afghanistan,AFG,2017,16.64358772,17.54803865,36296111,,140,141,Afghanistan,Southern Asia,3.79399991,0.401477218,0.581543326,0.180746779,0.10617952,0.06115783,0.311870933,2017
Afghanistan,AFG,2018,16.62355145,17.57171753,37171922,,144,145,Afghanistan,Southern Asia,3.632,0.332,0.537,0.255,0.085,0.036,0.191,2018
Afghanistan,AFG,2019,16.603959,17.61878093,38041757,,153,154,Afghanistan,Southern Asia,3.203,0.35,0.517,0.361,0,0.025,0.158,2019
Albania,ALB,2015,10.85204946,12.2115206,2890524,Europe,94,95,Albania,Central and Eastern Europe,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,2015
Albania,ALB,2016,10.84739466,12.19062055,2886427,,108,109,Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,2016
Albania,ALB,2017,10.83937794,12.16573773,2884169,,108,109,Albania,Central and Eastern Europe,4.644000053,0.996192753,0.803685248,0.731159747,0.381498635,0.039864216,0.201312944,2017
Albania,ALB,2018,10.82514687,12.178794,2882735,,111,112,Albania,Central and Eastern Europe,4.586,0.916,0.817,0.79,0.419,0.032,0.149,2018
Albania,ALB,2019,10.8079733,12.21787257,2880913,,106,107,Albania,Central and Eastern Europe,4.719,0.947,0.848,0.874,0.383,0.027,0.178,2019
Algeria,DZA,2015,13.97112611,15.49042029,39728020,Africa,67,68,Algeria,Middle East and Northern Africa,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2015
Algeria,DZA,2016,13.93802471,15.49064318,40551398,,37,38,Algeria,Middle East and Northern Africa,6.355,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,2016
Algeria,DZA,2017,13.90742984,15.49796417,41389174,,52,53,Algeria,Middle East and Northern Africa,5.872000217,1.091864467,1.146217465,0.617584646,0.233335808,0.14609611,0.069436647,2017
Algeria,DZA,2018,13.91560271,15.5358749,42228415,,83,84,Algeria,Middle East and Northern Africa,5.295,0.979,1.154,0.687,0.077,0.135,0.055,2018
Algeria,DZA,2019,13.93472403,15.6145336,43053054,,87,88,Algeria,Middle East and Northern Africa,5.211,1.002,1.16,0.785,0.086,0.114,0.073,2019
Angola,AGO,2015,12.72732441,13.86459584,27884380,Africa,136,137,Angola,Sub-Saharan Africa,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,2015
Angola,AGO,2016,12.73849798,13.8624685,28842482,,140,141,Angola,Sub-Saharan Africa,3.866,0.84731,0.66366,0.04991,0.00589,0.08434,0.12071,2016
Angola,AGO,2017,12.7519542,13.8606473,29816769,,139,140,Angola,Sub-Saharan Africa,3.795000076,0.85842818,1.10441196,0.049868666,0,0.069720335,0.09792649,2017
Angola,AGO,2018,12.75560433,13.84619769,30809787,,141,142,Angola,Sub-Saharan Africa,3.795,0.73,1.125,0.269,0,0.061,0.079,2018
Argentina,ARG,2015,13.10507351,13.95318472,43075416,South America,29,30,Argentina,Latin America and Caribbean,6.574,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2015
Argentina,ARG,2016,13.11582491,13.9651196,43508459,,25,26,Argentina,Latin America and Caribbean,6.65,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,2016
Argentina,ARG,2017,13.13061211,13.96359299,43937143,,23,24,Argentina,Latin America and Caribbean,6.598999977,1.185295463,1.440451145,0.695137084,0.494519204,0.059739888,0.109457061,2017
Argentina,ARG,2018,13.1426133,13.96008373,44361150,,28,29,Argentina,Latin America and Caribbean,6.388,1.073,1.468,0.744,0.57,0.054,0.062,2018
Argentina,ARG,2019,13.14733672,13.94581799,44780675,,46,47,Argentina,Latin America and Caribbean,6.086,1.092,1.432,0.881,0.471,0.05,0.066,2019
Armenia,ARM,2015,11.09310922,11.45791354,2925559,Asia,126,127,Armenia,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,2015
Armenia,ARM,2016,11.08401598,11.46039222,2936147,,120,121,Armenia,Central and Eastern Europe,4.36,0.86086,0.62477,0.64083,0.14037,0.03616,0.07793,2016
